part.str,Type,k
AAKO 1,RIP,0.017916082
AAKO 2,RIP,0.027479637
AAKO 3,RIP,0.017376366
AAKO 4,RIP,0.006860042
AAUS 1,RIP,0.00854073
AAUS 2,RIP,0.012070327
AAUS 3,RIP,0.008620336
AAUS 4,RIP,0.016015795
AB 1,RIP,0.00173313
AB 2,RIP,0.002254129
AB 3,RIP,0.001747698
AB 4,RIP,0.001652763
ACE 1,RIP,0.092043896
ACE 2,RIP,0.265601205
ACE 3,RIP,0.113208212
ACE 4,RIP,0.137611718
AD 1,RIP,0.003600969
AD 2,RIP,0.00413132
AD 3,RIP,0.004403889
AD 4,RIP,0.008488218
AF 1,RIP,0.012570488
AF 2,RIP,0.010419221
AF 3,RIP,0.007583838
AF 4,RIP,0.017281077
AFB 1,RIP,0.008105949
AFB 2,RIP,0.009762384
AFB 3,RIP,0.014910891
AFB 4,RIP,0.010528197
AG 1,RIP,0.012501987
AG 2,RIP,0.009277983
AG 3,RIP,0.007025389
AK 1,RIP,0.006078091
AK 2,RIP,0.008058819
AK 3,RIP,0.006866131
AK 4,RIP,0.005093362
AL 1,RIP,0.004130055
AL 2,RIP,0.008654017
AL 3,RIP,0.003978358
AL 4,RIP,0.007491442
AM 1,RIP,0.002385749
AM 2,RIP,0.002420098
AM 3,RIP,0.00285897
AM 4,RIP,0.002385605
AMYM 1,RIP,0.001843138
AMYM 2,RIP,0.002859124
AMYM 3,RIP,0.002364964
AMYM 4,RIP,0.001858326
ANCA 1,RIP,0.011836316
ANCA 2,RIP,0.011743305
ANCA 3,RIP,0.018786346
ANCA 5,RIP,0.00392022
ANCA 6,RIP,0.002992507
AP 1,RIP,0.004516149
AP 2,RIP,0.001716564
AP 3,RIP,0.002825631
AP 4,RIP,0.003718852
AR 1,RIP,0.00233434
AR 2,RIP,0.002540903
AR 3,RIP,0.004590611
AR 4,RIP,0.005645653
AREL 1,RIP,0.002369437
AREL 2,RIP,0.002822004
AREL 3,RIP,0.006992835
AREL 4,RIP,0.001888747
AS 1,RIP,0.01613727
AS 2,RIP,0.018664731
AS 3,RIP,0.021791632
AS 4,RIP,0.021504791
ASMO 1,RIP,0.067118791
ASMO 2,RIP,0.059017992
ASMO 3,RIP,0.061311504
ASMO 4,RIP,0.059831549
AV 1,RIP,0.009579104
AV 2,RIP,0.008212289
AV 3,RIP,0.011670322
AV 4,RIP,0.012075563
AY 1,RIP,0.012109475
AY 2,RIP,0.011928119
AY 3,RIP,0.011516794
AY 4,RIP,0.012118445
BB 1,RIP,0.002587134
BB 2,RIP,0.013081284
BB 3,RIP,0.002617492
BB 4,RIP,0.002582576
BM 1,RIP,0.001614852
BM 2,RIP,0.005459204
BM 3,RIP,0.002221777
BM 4,RIP,0.002283775
BR 1,RIP,0.001328528
BR 2,RIP,0.001724514
BR 3,RIP,0.00161006
BR 4,RIP,0.001122511
CATP 1,RIP,0.073852216
CATP 2,RIP,0.032772653
CATP 3,RIP,0.033279119
CATP 4,RIP,0.06020411
CATY 1,RIP,0.158822562
CATY 2,RIP,0.11804278
CATY 3,RIP,0.148979781
CATY 4,RIP,0.151114027
CC 1,RIP,0.017021389
CC 2,RIP,0.043660988
CC 3,RIP,0.027247511
CC 4,RIP,0.011105627
CCG 1,RIP,0.006798723
CCG 2,RIP,0.005547475
CCG 3,RIP,0.013685826
CCG 4,RIP,0.008543059
CIA 2,RIP,0.068198793
CIA 3,RIP,0.008538161
CIA 4,RIP,0.089738303
CIA 5,RIP,0.073193625
CIA 6,RIP,0.003295594
CIA 7,RIP,0.003218914
CIA 8,RIP,0.042513329
CJP 1,RIP,0.006813007
CJP 2,RIP,0.002986104
CJP 3,RIP,0.005177223
CJP 4,RIP,0.004280505
CL 1,RIP,0.003721597
CL 2,RIP,0.010308455
CL 3,RIP,0.002342981
CL 4,RIP,0.002115988
CLAR 1,RIP,0.015681721
CLAR 2,RIP,0.017274671
CLAR 3,RIP,0.016349054
CLAR 4,RIP,0.009947094
CPW 1,RIP,0.035998554
CPW 2,RIP,0.100880984
CPW 3,RIP,0.045715402
CPW 4,RIP,0.086209188
CR 1,RIP,0.011977401
CR 2,RIP,0.012467611
CR 3,RIP,0.011556987
CR 4,RIP,0.012136087
CS 1,RIP,0.014244662
CS 2,RIP,0.014079772
CS 3,RIP,0.062778795
CS 4,RIP,0.017086567
CVB 1,RIP,0.002363555
CVB 2,RIP,0.00573799
CVB 3,RIP,0.002301108
CVB 4,RIP,0.002527412
CYO 1,RIP,0.001833509
CYO 2,RIP,0.003149917
CYO 3,RIP,0.002882991
CYO 4,RIP,0.00236591
