Study,Biome,Habitat,N_instant,N_annual,P_instant,P_annual
CELLDEX,mont_grass,stream,11.2,0.64,0.89,0.08
CELLDEX,desert,stream,9.3,0.49,1.61,0.12
CELLDEX,tund,stream,0.8,0.07,0.13,0.01
CELLDEX,taiga,stream,3.1,0.29,0.48,0.05
CELLDEX,temp_conif,stream,23.6,1.64,2.22,0.19
CELLDEX,mediter,stream,1.7,0.14,0.28,0.03
CELLDEX,temp_broad,stream,46.8,4.48,4.5,0.51
CELLDEX,trop_grass,stream,6,0.29,1.33,0.1
CELLDEX,temp_grass,stream,5.8,0.26,0.94,0.05
CELLDEX,trop_dry,stream,57.4,2.7,2.11,0.11
CELLDEX,trop_wet,stream,30.4,1.09,3.65,0.17
CELLDEX,mont_grass,riparian,1.5,0.18,0.21,0.02
CELLDEX,desert,riparian,0.9,0.02,0.336,0.033
CELLDEX,tund,riparian,0.2,0.02,0.135,0.017
CELLDEX,taiga,riparian,1.1,0.03,0.252,0.026
CELLDEX,temp_conif,riparian,4.8,0.25,0.452,0.018
CELLDEX,mediter,riparian,4.1,0.19,0.578,0.066
CELLDEX,temp_broad,riparian,2.5,NA,1.05,0.118
CELLDEX,trop_grass,riparian,4.6,0.19,1.557,0.107
CELLDEX,temp_grass,riparian,0.4,NA,0.299,0.02
CELLDEX,trop_dry,riparian,NA,NA,2.264,NA
CELLDEX,trop_wet,riparian,8.7,0.4,2.319,0.167
boyero,trop_wet,riparian,,4.9,,0.262
boyero,trop_dry,riparian,,4.4,,0.232
boyero,temp_broad,riparian,,7.4,,0.493
boyero,temp_conif,riparian,,8.3,,0.487
boyero,taiga,riparian,,2.1,,0.161
boyero,trop_grass,riparian,,4.7,,0.225
boyero,temp_grass,riparian,,1.1,,0.072
boyero,mont_grass,riparian,,1.3,,0.106
boyero,tund,riparian,,0.5,,0.05
boyero,mediter,riparian,,1.6,,0.111
boyero,desert,riparian,,1.8,,0.1
