part.str,Strip_id,Sample_id,Stream_id,Type,Partner_id,P_ugg,N_per,C_per,Mass,Cmass,CN,CP,NP,latitude,longitude,deploy_time,biome_short,mean_mean_daily_temp,deg_days_adj,Nim,Nfactor,Ntmax,Pim,Pfactor,Ptmax,NP_im,NP_fac
AAKO 1,4892,TH-01-STR-U-AAKO,1,STR,AAKO,749,0.656,42.54,4.88,2.075952,75.6554878,1467.222964,19.39347702,17.7863778,97.9964361,23,trop_wet,28.7,647.5,479.564932,16.36189255,26.22174343,65.7,2.97,30.87847962,16.16,12.18
AAKO 3,4903,TH-03-STR-D-AAKO,3,STR,AAKO,331,0.184,41.01,4.923,2.0189223,260.0271739,3200.679758,12.30902028,17.7543,98.0148778,23,trop_wet,26.5,596.5,0,0,NA,26.6,0.98,26.68843,NA,NA
AAKO 3,4904,TH-03-STR-D-AAKO,3,STR,AAKO,300,0.35,42.73,6.004,2.5655092,142.4333333,3679.527778,25.83333333,17.7543,98.0148778,23,trop_wet,26.5,596.5,162.804156,7.189705081,38.79197384,20.8,1.54,52.05623291,17.36,10.37
AAKO 3,4724,TH-03-STR-U-AAKO,3,STR,AAKO,349,NA,62.53,7.875,4.9242375,NA,4628.533906,NA,17.7543,98.0148778,23,trop_wet,26.5,596.5,NA,NA,NA,NA,NA,NA,NA,NA
AAKO 3,4724,TH-03-STR-U-AAKO,3,STR,AAKO,349,0.188,41.4,7.381,3.055734,256.9148936,3064.469914,11.92795743,17.7543,98.0148778,23,trop_wet,26.5,596.5,0,NA,NA,22.6,NA,NA,NA,NA
AAKO 4,4726,TH-04-STR-D-AAKO,4,STR,AAKO,353,0.287,42.49,5.93,2.519657,172.7235772,3109.513692,18.00283286,17.7048083,98.0343694,23,trop_wet,28.4,638.9,110.332763,2.602498346,26.68157482,25.6,1.82,49.55016145,9.56,3.17
AAKO 4,4727,TH-04-STR-D-AAKO,4,STR,AAKO,324,0.261,41.95,6.142,2.576569,187.5159642,3344.778807,17.83730159,17.7048083,98.0343694,23,trop_wet,28.4,638.9,85.722548,1.483824779,23.40790859,22.8,1.74,53.41823351,8.34,1.89
AAKO 4,4728,TH-04-STR-U-AAKO,4,STR,AAKO,356,0.324,42.03,5.865,2.4650595,151.3425926,3049.929775,20.15248796,17.7048083,98.0343694,23,trop_wet,28.4,638.9,144.992746,4.32708672,29.38963731,26.1,1.72,45.9354009,12.29,5.59
AB 1,4497,CH-01-STR-D-AB,1,STR,AB,126,0.167,41.18,6.571,2.7059378,287.6846307,8442.989418,29.34807256,46.4413889,8.5269444,35,temp_conif,5.2,179.1,0,0,NA,3.7,0.35,78.52534726,NA,NA
AB 1,4493,CH-01-STR-D-AB,1,STR,AB,94,0.119,43.05,5.877,2.5300485,422.0588235,11831.11702,28.03191489,46.4413889,8.5269444,35,temp_conif,5.2,179.1,0,0,NA,2.1,0.05,31.30999034,NA,NA
AB 1,4495,CH-01-STR-U-AB,1,STR,AB,263,0.215,41.67,7.429,3.0956643,226.1162791,4093.060837,18.10157523,46.4413889,8.5269444,35,temp_conif,5.2,179.1,22.252277,NA,NA,10.3,NA,NA,4.77,NA
AB 1,4491,CH-01-STR-U-AB,1,STR,AB,426,0.335,40.4,7.158,2.891832,140.6965174,2449.921753,17.41281019,46.4413889,8.5269444,35,temp_conif,5.2,179.1,89.250358,13.49541103,119.2536471,19.4,4.25,147.5563416,10.17,7.04
AB 2,4499,CH-02-STR-U-AB,2,STR,AB,103,0.115,42.83,6.935,2.9702605,434.5072464,10742.1521,24.72260749,46.4559722,8.5140278,35,temp_conif,NA,NA,0,0,NA,2.2,0.36,135.3503676,NA,NA
AB 3,4504,CH-03-STR-D-AB,3,STR,AB,70,0.115,42.62,7.82,3.332884,432.3768116,15728.80952,36.37755102,46.4519444,8.5288889,35,temp_conif,5.2,177.7,0,NA,NA,0.3,NA,NA,NA,NA
AB 3,4509,CH-03-STR-D-AB,3,STR,AB,64,0.104,42.66,7.707,3.2878062,478.5576923,17219.53125,35.98214286,46.4519444,8.5288889,35,temp_conif,5.2,177.7,0,NA,NA,0,NA,NA,NA,NA
AB 3,4507,CH-03-STR-U-AB,3,STR,AB,70,0.101,42.87,6.933,2.9721771,495.1980198,15821.07143,31.94897959,46.4519444,8.5288889,35,temp_conif,5.2,177.7,0,0,NA,0,0,NA,NA,NA
AB 3,4502,CH-03-STR-U-AB,3,STR,AB,65,0.084,42.97,5.972,2.5661684,596.8055556,17077.82051,28.61538462,46.4519444,8.5288889,35,temp_conif,5.2,177.7,0,0,NA,0,0,NA,NA,NA
AFB 3,4336,NO-03-STR-D-AFB,3,STR,AFB,100,0.232,41.8,7.536,3.150048,210.2011494,10798.33333,51.37142857,69.767959,18.816131,35,tund,4.2,145.2,30.181745,NA,NA,1.9,NA,NA,34.62,NA
AFB 3,4331,NO-03-STR-D-AFB,3,STR,AFB,90,0.213,42.17,7.533,3.1766661,230.9780908,12104.35185,52.4047619,69.767959,18.816131,35,tund,4.2,145.2,20.096902,NA,NA,1.4,NA,NA,31.68,NA
AFB 3,4337,NO-03-STR-U-AFB,3,STR,AFB,81,0.17,31.69,7.659,2.4271371,217.4803922,10106.893,46.47266314,69.767959,18.816131,35,tund,4.2,145.2,0,0,NA,0,0,NA,NA,NA
AM 1,4409,US-01-STR-D-AM,1,STR,AM,650,0.5,43.4,4.997,2.168698,101.2666667,1724.871795,17.03296703,-12.9958,-41.3267333,31,desert,NA,NA,239.95739,10.39182289,35.5579864,40.9,2.72,45.48723474,12.98,8.46
AM 1,4413,US-01-STR-U-AM,1,STR,AM,473,0.397,43.2,5.545,2.39544,126.9521411,2359.408034,18.58501963,-12.9958,-41.3267333,31,desert,NA,NA,158.109839,7.853922395,42.88260964,27.4,2.3,57.97411347,12.8,7.56
