part.str,NH4_ugL,NO3_ugL,PO4_ugL,cond,pH,DOC,DIN,DNP,NHP
AAKO 1,4.34,5.88,22.32,NA,NA,NA,10.22,1.013888889,0.430555556
AAKO 3,3.78,19.39,14.57,NA,NA,NA,23.17,3.521276596,0.574468085
AAKO 4,3.78,19.39,14.57,NA,NA,NA,23.17,3.521276596,0.574468085
AB 1,2.5,70,0.5,37.8,6.78,0.21,72.5,321.0714286,11.07142857
AB 2,2.5,360,0.5,72.2,6.73,0.31,362.5,1605.357143,11.07142857
AB 3,2.5,30,0.5,5.6,5,0.5,32.5,143.9285714,11.07142857
AFB 3,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM 3,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM 4,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMYM 3,3.19,232.3,2.12,180,7.8,2.22,235.49,245.9632749,3.331873315
ANCA 2,1.69,1584.24,2.48,1006,8.3,NA,1585.93,1416.008929,1.508928571
ANCA 3,2.14,553.84,4.03,853,7.3,NA,555.98,305.4835165,1.175824176
ANCA 5,1.2,8.3,15.2,140,8.8,0.29,9.5,1.383928571,0.17481203
ANCA 6,1.1,46.2,2.1,20,7.9,0.1,47.3,49.87414966,1.159863946
AREL 3,71.1,1172.9,7.2,2422,8.31,NA,1244,382.5793651,21.86607143
AREL 4,63.4,751.7,6.5,1580.5,8.3,NA,815.1,277.6714286,21.5978022
BB 1,0.5,150,4,439,7.7,NA,150.5,83.3125,0.276785714
BB 2,0.31,200,4,590,8.81,NA,200.31,110.8858929,0.171607143
BB 3,0.28,350,4,505.7,8,NA,350.28,193.905,0.155
BB 4,5,500,4,521.3,7.4,NA,505,279.5535714,2.767857143
BM 2,21,8,1,3.34,6.43,19.8,29,64.21428571,46.5
BM 3,14,8,1,2.62,6.17,18.2,22,48.71428571,31
BR 3,2.9,2,26.3,60.1,7.62,NA,4.9,0.412547529,0.244160782
CATY 2,NA,NA,NA,41.8,5.95,NA,NA,NA,NA
CC 2,35,27,NA,604,7.14,NA,62,NA,NA
